@relation all_predicted

@attribute ﻿latitude numeric
@attribute longitude numeric
@attribute brightness numeric
@attribute scan numeric
@attribute track numeric
@attribute satellite_date {4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/12/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/19/2020,4/20/2020,4/22/2020,4/23/2020,4/24/2020,5/3/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020}
@attribute confidence {nominal,high,low,82,89,72,61,80,100,90,49,86,75,91,36,77,35,55,87,62,74,93,76,95,78,79,58,54,71,40,83,50,53,68,46,64,60,85,73,70,37,65,88,51,84,92,56,20,66,57,2.7}
@attribute bright_t31 numeric
@attribute frp numeric

@data
20.00664,99.60835,347.3,0.4,0.44,4/6/2020,nominal,314.7,55.9
20.00719,99.60584,340.1,0.51,0.49,4/6/2020,nominal,302.1,7.9
20.01075,99.60784,346.1,0.4,0.44,4/6/2020,nominal,303.7,5.1
20.193,99.605,301.4,1,1,4/6/2020,72,301.4,13.8
19.93165,100.50652,367,0.46,0.47,4/6/2020,low,326.6,124.2
19.638,99.809,310.4,1,1,4/7/2020,71,297.9,8
19.639,99.819,307.8,1,1,4/7/2020,53,296,6.1
19.98892,99.55869,356.4,0.52,0.67,4/7/2020,low,289.4,17.7
20.00949,99.69812,308.7,0.43,0.46,4/7/2020,nominal,293.9,1.7
20.01221,99.60606,336.1,0.51,0.66,4/7/2020,nominal,298.8,10.3
20.013,99.599,324.3,1,1,4/7/2020,100,295.8,20.5
20.01308,99.59891,348.9,0.39,0.36,4/7/2020,nominal,308.6,8
20.011,99.59,314.6,1,1,4/7/2020,86,294.6,11.1
20.09,100.167,307.3,1.2,1.1,4/7/2020,71,391.9,8.6
20.088,100.179,306.5,1.2,1.1,4/7/2020,68,306.5,293
20.091,100.174,314.2,1.2,1.1,4/7/2020,71,293.3,14.1
20.08994,100.17569,347.8,0.4,0.37,4/7/2020,nominal,311.7,13.9
20.326,100.356,304,1.2,1.1,4/7/2020,54,293.9,5.8
20.328,100.344,315.4,1.2,1.1,4/7/2020,91,292,16.4
20.32636,100.34419,334.1,0.4,0.37,4/7/2020,low,308.1,3.6
20.225,99.771,302,1.1,1.1,4/7/2020,46,291.7,5
20.247,99.633,305.4,1.1,1.1,4/7/2020,64,284.8,7.8
19.5953,99.41727,302.9,0.47,0.48,4/15/2020,nominal,290.6,1.4
19.59592,99.41524,305.2,0.44,0.46,4/15/2020,nominal,290.6,1.5
19.64486,99.31445,333.4,0.39,0.36,4/15/2020,low,305.9,3.4
19.35497,99.40647,335.5,0.61,0.53,4/16/2020,low,307,10
19.35671,99.41037,332.8,0.61,0.53,4/16/2020,low,305.1,5.1
19.48005,99.30925,335.3,0.34,0.56,4/17/2020,nominal,297.4,4.1
19.48465,99.30778,330.6,0.45,0.39,4/17/2020,nominal,330.6,4.7
19.587,99.407,335.7,1,1,4/17/2020,84,335.7,21.4
19.58925,99.41243,345.5,0.48,0.4,4/17/2020,nominal,345.5,14.7
19.59232,99.40723,341.4,0.48,0.4,4/17/2020,low,314,9
19.60022,99.41041,336.6,0.48,0.4,4/17/2020,low,309.7,8.5
19.60512,99.41926,331.9,0.48,0.4,4/17/2020,low,306.7,3.3
19.95571,99.63038,315.7,0.44,0.38,4/17/2020,nominal,292.6,1.2
19.835,100.21,346,1.1,1,4/17/2020,92,304.9,40.7
19.83813,100.21225,339.9,0.53,0.42,4/17/2020,nominal,306.2,63.6
19.28108,99.36997,342,0.48,0.48,4/19/2020,nominal,307.8,32.6
19.28187,99.36977,343.3,0.48,0.48,4/19/2020,nominal,343.3,31.2
19.47871,99.41096,345.6,0.49,0.48,4/19/2020,nominal,303.7,7.8
19.60916,99.39899,305.8,0.38,0.36,4/19/2020,nominal,293.1,1.5
19.53528,99.87917,335.7,0.4,0.44,4/19/2020,nominal,300.6,5.4
19.53758,99.87878,338.7,0.52,0.5,4/19/2020,nominal,300.9,5.3
19.53712,99.87476,332.9,0.52,0.5,4/19/2020,nominal,301.6,5.3
19.53445,99.87459,344,0.4,0.44,4/19/2020,nominal,302.1,5.4
19.97341,99.57976,330.4,0.41,0.45,4/19/2020,low,304.3,2.8
20.31761,99.5386,340.9,0.4,0.44,4/19/2020,nominal,301.8,5.7
19.80508,100.39336,335.5,0.55,0.43,4/19/2020,nominal,303.8,5.7
19.90549,100.15448,318.2,0.39,0.36,4/19/2020,nominal,294.4,1.9
19.90822,100.15508,308.6,0.39,0.36,4/19/2020,nominal,294.2,1.6
19.90882,100.1514,326.2,0.39,0.36,4/19/2020,nominal,294.9,2.2
19.90608,100.1508,309.5,0.39,0.36,4/19/2020,nominal,293.8,2
20.00137,100.25362,331.9,0.56,0.43,4/19/2020,low,331.9,2.4
20.0029,100.05094,305,0.56,0.52,4/19/2020,nominal,305,6.4
20.00528,100.25283,330.6,0.56,0.43,4/19/2020,low,305.1,3.4
19.61501,99.58874,341,0.42,0.38,4/20/2020,nominal,307.4,8
19.61391,99.58084,331.8,0.42,0.38,4/20/2020,low,306.5,3.2
19.73251,99.37988,330.8,0.42,0.37,4/20/2020,low,303.8,2
19.76378,99.37949,346.2,0.42,0.61,4/20/2020,nominal,297.1,9.1
19.7678,99.38081,337.2,0.42,0.61,4/20/2020,nominal,296,9
19.767,99.3772,344,0.42,0.61,4/20/2020,nominal,298,10.5
19.95615,99.61488,342.7,0.4,0.6,4/20/2020,nominal,299.1,7.2
19.96143,99.61269,350.7,0.4,0.6,4/20/2020,nominal,297,7.3
20.04858,99.61766,344.5,0.43,0.38,4/20/2020,nominal,310.8,4.3
20.03961,99.65659,331.1,0.4,0.6,4/20/2020,nominal,296.1,3.1
20.17307,99.9998,337.3,0.44,0.38,4/20/2020,nominal,305.7,1.6
19.73706,100.0274,348,0.44,0.38,4/20/2020,nominal,307,3.7
19.74059,100.027,331.1,0.44,0.38,4/20/2020,low,305.2,3.7
19.74412,100.02667,332.8,0.44,0.38,4/20/2020,low,304.5,3.3
19.62109,100.23698,339,0.44,0.39,4/20/2020,nominal,307.2,8.1
19.82041,100.2983,335.1,0.45,0.39,4/20/2020,low,308.2,4.3
19.34597,99.41217,337.2,0.39,0.44,4/22/2020,nominal,304.6,2.6
19.33961,99.39355,341.6,0.38,0.44,4/22/2020,nominal,300.6,1.8
19.46491,99.40697,345.6,0.39,0.44,4/22/2020,nominal,299.1,103.5
19.47383,99.41301,331.1,0.39,0.44,4/22/2020,low,304,2.5
19.55399,99.36136,332.4,0.39,0.44,4/22/2020,nominal,297.5,3.1
19.6376,99.33386,345.5,0.38,0.44,4/22/2020,nominal,300.3,4.9
19.5741,99.95668,338.9,0.42,0.45,4/22/2020,nominal,297.9,5.7
19.96612,99.58884,305.6,0.4,0.37,4/22/2020,nominal,294.7,1.6
19.98782,99.60384,321.4,0.4,0.37,4/22/2020,nominal,295.8,2.3
19.99229,99.59672,305.3,0.4,0.37,4/22/2020,nominal,292,0.3
19.99563,99.59726,302.7,0.4,0.37,4/22/2020,nominal,291.6,0.3
20.113,99.626,328.1,1,1,4/22/2020,71,310.1,12.8
20.122,99.631,304.1,3.1,1.7,4/22/2020,58,304.1,21.2
20.27482,99.56097,341.9,0.4,0.44,4/22/2020,nominal,303.1,15
20.33327,99.53747,337.2,0.4,0.44,4/22/2020,nominal,305.2,2.6
20.18779,100.30014,337.8,0.45,0.47,4/22/2020,low,309.6,6.7
19.28802,99.40861,336.8,0.39,0.36,4/23/2020,nominal,299.4,2.5
19.42793,99.48624,350,0.39,0.36,4/23/2020,nominal,312.3,27
19.43124,99.48569,343.2,0.39,0.36,4/23/2020,nominal,308.3,7.8
19.44616,99.47196,339,0.39,0.36,4/23/2020,low,310,3.5
19.43737,99.43591,331.5,0.39,0.36,4/23/2020,low,305.6,3.8
19.44456,99.41594,336.7,0.39,0.36,4/23/2020,nominal,306.1,3.7
19.72972,99.51475,341.4,0.39,0.36,4/23/2020,nominal,307.8,4.6
19.74096,99.54998,330.1,0.52,0.67,4/23/2020,nominal,298.9,6.5
19.483,99.869,308.5,1,1,4/23/2020,75,297,4.4
19.946,99.635,308.5,1,1,4/23/2020,75,294.4,6.3
20.019,99.51,303.6,1.1,1.1,4/23/2020,56,292.2,4.7
20.3229,100.33712,346.1,0.4,0.37,5/7/2020,nominal,307.2,36
19.36117,99.33337,331.3,0.57,0.43,5/8/2020,nominal,293.6,3.4
19.68731,100.27946,337,0.46,0.47,5/8/2020,nominal,295.3,3.7
20.15483,100.05227,335.5,0.39,0.37,5/9/2020,low,306.6,4.6
19.97103,99.67754,336.2,0.39,0.36,5/9/2020,nominal,303.4,3.3
19.97435,99.67697,338,0.39,0.36,5/9/2020,nominal,311.3,56.4
19.74246,100.38148,336.5,0.46,0.39,5/10/2020,nominal,300.1,8.6
20.17342,99.98276,338.3,0.52,0.42,5/11/2020,nominal,306.6,5.8
20.26251,99.56754,337.3,0.5,0.41,5/11/2020,nominal,303.7,4.7
20.29,100.026,327.1,1,1,5/12/2020,77,304.3,8.2
20.29596,100.02691,337.7,0.38,0.36,5/12/2020,2.7,302.8,2.7
