@relation testcase-model_predicted

@attribute latitude numeric
@attribute longitude numeric
@attribute brightness numeric
@attribute scan numeric
@attribute track numeric
@attribute confidence {20,42,49,33,53,52,35,44,17,60,15,36,62,57,63,64,58,61,59,69,70,72,73,78,79,85,18,50,31,32,0,23,43,48,41,46,39,66,55,54,19,38,65,22,51,47,67,71,45,26,68,76,24,75,74,77,80,82,84,81,83,86,88,89,91,93,96,100}
@attribute bright_t31 numeric
@attribute frp numeric

@data
18.90131,98.57288,303.2,0.52,0.41,50,291,1.8
17.04077,98.84501,303.2,0.57,0.43,50,291.5,0.8
18.09646,98.06076,303.2,0.5,0.41,50,291.6,1
14.39425,98.58273,303.2,0.41,0.45,50,291.7,1
15.7082,98.55324,303.2,0.57,0.52,50,292.3,1.7
15.7082,98.55324,303.2,0.57,0.52,50,292.3,1.8
15.94841,98.96023,303.2,0.4,0.44,50,292.5,2.6
19.172,98.23,303.2,1.8,1.3,52,292.6,9.9
12.5008,99.75902,303.3,0.43,0.46,50,289.6,0.5
17.43616,98.33143,303.3,0.53,0.42,50,289.9,0.7
18.90705,98.43309,303.3,0.51,0.41,50,290.4,1.2
17.82562,100.19498,303.3,0.45,0.47,50,290.8,0.5
15.87203,99.133,303.3,0.52,0.5,50,290.8,1.1
14.85069,98.75002,303.3,0.54,0.51,50,292,1.6
15.90236,98.79826,303.3,0.4,0.44,50,292.5,0.8
19.225,98.644,303.3,1.9,1.4,35,292.5,10.2
18.49812,97.7198,303.3,0.35,0.57,50,293,0.7
17.66154,98.03715,303.3,0.32,0.55,50,293.2,0.7
19.01591,98.45708,303.4,0.51,0.41,50,291.1,1.5
17.57284,98.10995,303.4,0.32,0.55,50,291.4,0.4
17.57284,98.10995,303.4,0.32,0.55,50,291.4,0.5
19.37841,99.02013,303.4,0.54,0.42,50,291.5,0.9
19.14264,99.29253,303.4,0.56,0.43,50,291.7,1
15.17132,98.66579,303.4,0.4,0.44,50,292.7,0.9
18.82013,98.08147,303.5,0.33,0.56,50,289.5,0.5
18.82013,98.08147,303.5,0.33,0.56,50,289.5,0.6
