latitude,longitude,brightness,scan,track,insert_time,satellite_date,confidence,bright_t31,frp,result
19.60227,99.32016,341.6,0.48,0.48,14:00:00,4/3/2020,nominal,305.2,6.8,NO
19.60303,99.3231,308.5,0.38,0.36,2:00:00,4/3/2020,nominal,292.2,1.1,NO
19.60361,99.31947,307.9,0.38,0.36,2:00:00,4/3/2020,nominal,293.8,1.1,NO
19.60534,99.32816,339.5,0.43,0.46,13:06:00,4/3/2020,nominal,302.7,4.8,NO
19.60534,99.32816,339.5,0.43,0.46,13:06:00,4/3/2020,nominal,302.7,4.9,NO
19.60717,99.31905,309.2,0.58,0.7,1:06:00,4/3/2020,nominal,292,3.2,NO
19.6129,99.61872,335.1,0.5,0.49,14:00:00,4/3/2020,nominal,305.4,2.3,NO
19.61488,99.33298,339.9,0.43,0.46,13:06:00,4/3/2020,nominal,303,7.7,NO
19.61568,99.61684,332.9,0.5,0.49,14:00:00,4/3/2020,low,306.3,3.1,NO
19.61622,99.32545,304.7,0.38,0.36,2:00:00,4/3/2020,nominal,294.2,1,NO
19.61691,99.6135,337.4,0.5,0.49,14:00:00,4/3/2020,nominal,307.6,3.7,NO
19.61713,99.6171,311.3,0.38,0.36,2:00:00,4/3/2020,nominal,295.6,2.8,NO
19.61719,99.61346,304,0.62,0.71,2:48:00,4/3/2020,nominal,293.6,1.7,NO
19.61771,99.61345,335.8,0.38,0.36,2:00:00,4/3/2020,nominal,297.2,2.8,NO
19.61771,99.61345,335.9,0.38,0.36,2:00:00,4/3/2020,nominal,297.2,2.8,NO
19.61794,99.31454,311.3,0.38,0.36,2:00:00,4/3/2020,nominal,294.8,1,NO
19.618,99.321,332.9,1.2,1.1,13:35:00,4/3/2020,77,306.4,27.9,YES
19.61929,99.31182,303.9,0.59,0.7,2:48:00,4/3/2020,nominal,293,2.2,NO
19.61952,99.32603,313.5,0.38,0.36,2:00:00,4/3/2020,nominal,295.5,1,NO
19.62,99.332,333.3,1.2,1.1,13:35:00,4/3/2020,80,306.3,26.9,YES
19.62009,99.3224,310.7,0.38,0.36,2:00:00,4/3/2020,nominal,295,1,NO
19.62066,99.31876,318.9,0.38,0.36,2:00:00,4/3/2020,nominal,295.5,1,NO
19.62066,99.31876,319,0.38,0.36,2:00:00,4/3/2020,nominal,295.5,1,NO
19.62076,99.32473,345.3,0.48,0.48,14:00:00,4/3/2020,nominal,307.5,8.8,NO
19.62101,99.61404,328.1,0.38,0.36,2:00:00,4/3/2020,nominal,297.5,2.8,NO
19.62124,99.31512,306.3,0.38,0.36,2:00:00,4/3/2020,nominal,294.8,1,NO
19.62139,99.62074,336.6,0.41,0.45,13:06:00,4/3/2020,nominal,306.3,2.2,NO
19.62158,99.61134,306.7,0.56,0.69,1:06:00,4/3/2020,nominal,295.2,2.7,NO
19.6223,99.32642,330.1,0.43,0.46,13:06:00,4/3/2020,nominal,303.5,7.9,NO
19.623,99.33017,367,0.43,0.46,13:06:00,4/3/2020,high,306.8,7.9,YES
19.62494,99.31726,341.1,0.43,0.46,13:06:00,4/3/2020,nominal,305.2,8.4,NO
19.62531,99.32516,333.3,0.48,0.48,14:00:00,4/3/2020,low,306.4,8.8,YES
19.62704,99.32864,330.8,0.43,0.46,13:06:00,4/3/2020,nominal,303.9,3,NO
19.628,99.319,321.4,1.2,1.1,13:35:00,4/3/2020,36,307.1,10.6,YES
19.63361,99.59895,350.1,0.5,0.49,14:00:00,4/3/2020,nominal,312.8,13.2,NO
19.64585,99.60727,306.6,0.38,0.36,2:00:00,4/3/2020,nominal,296.5,0.8,NO
19.64585,99.60727,306.6,0.38,0.36,2:00:00,4/3/2020,nominal,296.5,0.9,NO
19.65046,99.38559,345.3,0.42,0.45,13:06:00,4/3/2020,nominal,310,6,NO
19.65046,99.38559,345.4,0.42,0.45,13:06:00,4/3/2020,nominal,310,5.9,NO
19.65198,99.38552,344.6,0.42,0.45,13:06:00,4/3/2020,nominal,310.6,10.6,NO
19.65198,99.38552,344.7,0.42,0.45,13:06:00,4/3/2020,nominal,310.6,10.5,NO
19.65568,99.39544,320.5,0.38,0.36,2:00:00,4/3/2020,nominal,296.7,1.9,NO
19.65625,99.39179,320.7,0.38,0.36,2:00:00,4/3/2020,nominal,296.9,1.6,NO
19.65683,99.38815,309,0.38,0.36,2:00:00,4/3/2020,nominal,295.1,1.6,NO
19.65741,99.38449,322.4,0.38,0.36,2:00:00,4/3/2020,nominal,296.8,2.7,NO
19.65741,99.38449,322.4,0.38,0.36,2:00:00,4/3/2020,nominal,296.8,2.8,NO
19.65792,99.46703,304.3,0.38,0.36,2:00:00,4/3/2020,nominal,293,0.6,NO
19.66012,99.62383,339.7,0.41,0.45,13:06:00,4/3/2020,nominal,305.8,4.4,NO
