brightness,scan,track,confidence,bright_t31,frp
331.7,0.4,0.37,low,304.2,1.5
337.8,0.32,0.55,nominal,293.2,3.5
322.5,0.42,0.38,nominal,295.7,3.9
322.3,0.42,0.38,nominal,295.2,3.4
311.4,0.44,0.62,nominal,288.8,2.7
309.7,0.41,0.37,nominal,291.6,1.1
310.8,0.45,0.63,nominal,287.5,2.2
346.2,0.49,0.41,nominal,297.1,14.9
331.4,0.49,0.4,nominal,295.4,2
317.7,1.2,1.1,54,302,7.8
336.7,0.48,0.48,nominal,297,6.3
330.2,0.42,0.45,nominal,300.5,2.5
341.7,0.44,0.38,nominal,305.3,8.6
320.5,3.1,1.7,57,296.9,43.9
319,3.1,1.7,51,296.3,36
346,0.39,0.59,nominal,294.9,6.1
338.4,0.39,0.59,nominal,294.5,7.2
356.1,0.4,0.6,nominal,298.9,7.7
356.1,0.4,0.6,nominal,298.8,6.7
335.8,0.43,0.38,nominal,303.7,2.7
333.6,0.43,0.38,nominal,302,2.7
335.7,0.44,0.38,low,305.7,8.5
367,0.44,0.62,high,291.8,14.9
367,0.44,0.62,high,291.9,14.8
336.4,0.37,0.37,nominal,300.3,5.1
331.6,0.46,0.64,nominal,294.4,3
334.8,1.5,1.2,85,296.2,48.8
346.1,0.4,0.37,nominal,307.2,36
331.3,0.57,0.43,nominal,293.6,3.4
337,0.46,0.47,nominal,295.3,3.7
335.5,0.39,0.37,low,306.6,4.6
336.2,0.39,0.36,nominal,303.4,3.3
338,0.39,0.36,nominal,311.3,56.4
336.5,0.46,0.39,nominal,300.1,8.6
338.3,0.52,0.42,nominal,306.6,5.8
337.3,0.5,0.41,nominal,303.7,4.7
327.1,1,1,77,304.3,8.2
337.7,0.38,0.36,2.7,302.8,2.7
