@relation ai_pre_predicted

@attribute ﻿latitude numeric
@attribute longitude numeric
@attribute brightness numeric
@attribute scan numeric
@attribute track numeric
@attribute confidence numeric
@attribute bright_t31 numeric
@attribute frp numeric

@data
19.84306,99.4689,352.6,0.41,0.61,50,299.7,10.6
19.85964,100.46136,303.2,0.48,0.4,50,292,0.9
19.255,99.427,304.8,1.1,1.1,54,294.6,5.5
19.123,99.35,307.2,1.7,1.3,71,292.5,14.2
19.1277,99.35229,333.1,0.44,0.39,20,301.5,6.6
19.12427,99.34619,316.1,0.4,0.37,50,294.4,2
19.201,99.334,316.4,1,1,40,299.8,8.2
19.199,99.343,318.8,1,1,58,299.9,10.3
19.19632,99.33824,305,0.4,0.37,50,293.4,0.8
19.24623,99.43124,345.1,0.39,0.44,50,307,3.3
19.24975,99.42677,335.3,0.38,0.44,50,305.6,3.3
19.51613,99.64796,341.4,0.52,0.5,50,299.9,6.4
19.614,99.598,325.6,1,1,74,302.3,14.3
19.616,99.59952,337.6,0.52,0.5,50,299,5.9
19.589,99.32,334.2,1,1,83,303.2,27.9
19.591,99.311,346.8,1,1,93,302.4,50.5
19.59745,99.33198,339.5,0.54,0.51,50,300.3,7.1
19.59728,99.33453,341.3,0.54,0.51,50,298.7,5.4
19.80667,99.45467,330.1,0.39,0.44,20,301.8,4.7
19.80708,99.45801,338.8,0.39,0.44,50,303.2,4.7
19.80346,99.462,348.1,0.39,0.44,50,303.1,5.9
19.87,99.421,320.8,1,1,50,306.5,7.6
19.86973,99.41534,350.3,0.53,0.53,50,298.4,14.8
20.00808,99.61037,340.2,0.51,0.49,50,301.7,7.9
20.00664,99.60835,347.3,0.4,0.44,50,314.7,55.9
20.00719,99.60584,340.1,0.51,0.49,50,302.1,7.9
20.01075,99.60784,346.1,0.4,0.44,50,303.7,5.1
20.193,99.605,301.4,1,1,72,301.4,13.8
19.93165,100.50652,367,0.46,0.47,20,326.6,124.2
19.638,99.809,310.4,1,1,71,297.9,8
19.639,99.819,307.8,1,1,53,296,6.1
19.98892,99.55869,356.4,0.52,0.67,20,289.4,17.7
20.00949,99.69812,308.7,0.43,0.46,50,293.9,1.7
20.01221,99.60606,336.1,0.51,0.66,50,298.8,10.3
20.013,99.599,324.3,1,1,100,295.8,20.5
20.01308,99.59891,348.9,0.39,0.36,50,308.6,8
20.011,99.59,314.6,1,1,86,294.6,11.1
20.09,100.167,307.3,1.2,1.1,71,391.9,8.6
20.088,100.179,306.5,1.2,1.1,68,306.5,293
20.091,100.174,314.2,1.2,1.1,71,293.3,14.1
20.08994,100.17569,347.8,0.4,0.37,50,311.7,13.9
20.326,100.356,304,1.2,1.1,54,293.9,5.8
20.328,100.344,315.4,1.2,1.1,91,292,16.4
20.32636,100.34419,334.1,0.4,0.37,20,308.1,3.6
20.225,99.771,302,1.1,1.1,46,291.7,5
20.247,99.633,305.4,1.1,1.1,64,284.8,7.8
20.248,99.635,308.6,1,1,60,292.5,9
19.775,100.411,307.5,1.2,1.1,72,293.1,9.2
19.78057,100.40645,353.3,0.4,0.37,50,308,20.8
19.78108,100.41005,355.6,0.4,0.37,50,313.6,20.8
19.946,100.486,303,1.2,1.1,49,292.9,5.2
19.94825,100.47862,310.4,0.4,0.37,50,310.4,20.5
19.9472,100.47126,335.1,0.4,0.37,20,309.7,3.7
19.94773,100.47495,356.2,0.4,0.37,50,315.7,20.5
19.69451,99.8035,308.5,0.42,0.37,50,293.7,0.7
19.69108,99.80289,305.4,0.42,0.37,50,293.5,0.7
19.74656,99.39104,344,0.62,0.54,50,306.9,13.6
19.749,99.394,371,1.1,1.1,100,312.5,123.8
19.74925,99.39352,351,0.51,0.41,50,311.6,16.5
19.748,99.383,336.7,1.1,1.1,85,311.4,27.4
19.75155,99.39072,340.6,0.62,0.54,50,305.7,13.6
19.75221,99.39691,348.8,0.62,0.54,50,308.5,13.6
19.75301,99.39274,349,0.51,0.41,50,309.7,15.5
19.758,99.393,331.6,1.1,1.1,73,308.8,20.4
19.75679,99.39209,355.6,0.51,0.41,50,313.7,16
19.75767,99.39706,333.2,0.51,0.41,20,306.9,8.3
19.75712,99.39591,338.8,0.62,0.54,50,306.6,8
19.757,99.382,331.3,1.1,1.1,75,310.4,19.8
19.75889,99.38184,335.8,0.51,0.41,20,309.1,5.7
20.002,99.596,323.6,1.4,1.2,70,304.5,17.2
20.00259,99.59877,331.9,0.5,0.41,20,305.7,4
20.33463,99.52657,367,0.32,0.55,80,312.3,15.7
20.35944,99.50858,300.4,0.74,0.76,50,288.6,2.8
20.37175,99.4879,304.7,0.74,0.76,50,289.9,3.2
20.3715,99.48982,309.9,0.74,0.76,50,290,2.8
20.342,99.724,315.7,1.4,1.2,37,299.1,10.4
20.33619,99.73739,367,0.33,0.55,80,296,8.8
20.338,99.75,319.4,1.4,1.2,65,299,16.7
20.34,99.737,347.2,1.4,1.2,93,300.3,80.8
20.34129,99.73805,330.8,0.48,0.4,20,301.3,4.5
20.34048,99.73338,341.5,0.48,0.4,50,302,4.5
19.95153,100.47702,333.5,0.44,0.38,50,296,4.4
19.95781,100.48247,344.6,0.44,0.38,50,297.4,7.7
19.293,99.342,309.3,1,1,77,292.1,8.6
19.292,99.351,304.9,1,1,62,289.9,5.7
19.29013,99.34273,346.1,0.45,0.39,50,295.5,7.9
19.286,99.34624,312.8,0.45,0.39,50,293.3,7.9
19.5836,99.35757,338.3,0.48,0.4,50,300.6,3.4
19.594,99.367,302.4,1,1,35,288.4,5.1
19.595,99.357,305.5,1,1,65,287.2,7.2
19.39227,99.41323,367,0.49,0.65,80,305.6,11.3
19.63958,99.38947,336.9,0.39,0.36,20,302.3,3.1
19.62227,99.58942,305.1,0.38,0.43,50,289.2,0.9
19.76155,99.3807,308.8,0.56,0.43,50,290.6,1.9
19.76257,99.37517,319.4,0.56,0.43,50,290.8,1.9
19.72095,99.86644,337.2,0.39,0.36,50,307.6,7
19.97617,100.15576,337.3,0.38,0.36,20,309.6,5.3
19.801,100.37,334.7,2,1.4,85,300.1,77.7
19.802,100.377,338.6,2,1.4,88,300.2,93.9
19.798,100.39,321.4,2,1.4,71,299.6,32.1
20.11509,99.6468,334.2,0.39,0.36,50,300.2,4.1
20.11756,99.64734,332.4,0.52,0.67,50,293.3,6
19.02619,99.39407,321.8,0.38,0.36,50,291,1.7
19.16568,99.47849,313.8,0.39,0.36,50,293.9,1.6
19.26879,99.34358,319.5,0.38,0.36,50,293.1,1.7
19.26916,99.34175,304.2,0.57,0.69,50,289.8,0.9
19.38762,99.40924,307.8,0.38,0.36,50,290.9,0.9
19.43354,99.59219,309.2,0.39,0.36,50,289.7,0.9
19.45754,99.6114,325.1,0.39,0.36,50,292.2,2
19.44102,99.90784,308.1,0.39,0.36,50,293.5,1.2
19.62377,99.59515,308.5,0.39,0.36,50,290.2,1.7
19.62694,99.59493,339.6,0.41,0.45,50,299.5,3.3
19.62727,99.59606,351.4,0.5,0.49,50,303.7,10.7
19.58102,99.30029,306.5,0.58,0.7,50,286.9,1.4
19.70739,100.239,305.9,0.39,0.36,50,294.4,1.4
19.75107,100.05294,309.9,0.39,0.36,50,295.4,1.5
19.75209,100.05,313.5,0.52,0.67,50,291.5,2.5
19.75168,100.0492,305.7,0.39,0.36,50,294.6,1.6
19.75377,100.05724,316.8,0.39,0.36,50,295.3,1.5
19.75498,100.04979,323.3,0.39,0.36,50,296.2,1.6
19.77238,100.06824,310.1,0.39,0.36,50,295.4,2.5
19.831,100.10537,320.4,0.39,0.36,50,295.1,2.8
19.80485,100.26711,309.2,0.39,0.36,50,294.6,1.4
19.80213,100.26289,313.5,0.39,0.36,50,295,1.8
19.80154,100.26654,311,0.39,0.36,50,295,1.4
19.81145,100.30985,317,0.39,0.36,50,293.3,1.1
19.81413,100.31423,311.9,0.39,0.36,50,294.5,1.6
19.81476,100.31046,307.7,0.39,0.36,50,293.7,1.1
19.82285,100.32352,306.6,0.39,0.36,50,294.6,1.6
19.83013,100.32077,306.5,0.39,0.36,50,293.3,1.3
19.852,100.38,304.2,2,1.4,51,290.8,13.3
19.89273,99.69862,317.2,0.39,0.36,50,265.8,1.7
99.68014,99.68014,347.8,0.4,0.44,50,290.1,8.8
19.9478,99.67415,303.2,0.55,0.68,50,286.4,2.1
19.94943,99.67391,302.6,0.55,0.68,50,282.9,2.4
20.02976,99.63205,324.7,0.39,0.36,50,294.7,2
